source,target
ಅವರು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada tomorrow
ಅವನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,He watch a movie tomorrow
ನಾನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie in the evening
ಅವಳು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,She play a game tomorrow
ಅವರು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home in the evening
ನಾವು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book tomorrow
ಅವರು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school now
ನಾನು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,I speak Kannada today
ಅವರು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book every day
ಅವರು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie tomorrow
ನಾನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,I play a game every day
ಅವರು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home today
ಅವರು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit now
ನೀನು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school now
ಅವಳು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,She play a game every day
ನಾವು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit today
ನಾವು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada every day
ನೀನು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book tomorrow
ಅವನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book in the evening
ಅವಳು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,She play a game every day
ಅವನು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit every day
ಅವನು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,He play a game tomorrow
ನಾನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,I play a game today
ನಾನು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,I eat fruit every day
ಅವಳು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,She listen to music in the evening
ಅವರು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada now
ಅವರು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie tomorrow
ನಾವು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,We listen to music tomorrow
ಅವಳು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school today
ಅವರು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book every day
ಅವಳು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book tomorrow
ನೀನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,You play a game now
ನಾನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,I eat fruit now
ಅವನು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home in the evening
ನಾನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,I play a game every day
ನೀನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book now
ಅವಳು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada every day
ನೀನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,You play a game today
ಅವನು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada now
ನೀನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book in the evening
ನಾವು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book today
ಅವನು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home in the evening
ನೀನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music every day
ಅವಳು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada today
ನಾವು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,We listen to music today
ನೀನು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,You come home in the evening
ಅವಳು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,She listen to music every day
ಅವಳು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,She play a game now
ಅವಳು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home tomorrow
ಅವಳು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie now
ಅವನು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,He play a game in the evening
ನಾವು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada every day
ನಾನು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music now
ನೀನು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school in the evening
ಅವನು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music today
ಅವನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school today
ಅವಳು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie every day
ನಾವು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit now
ನೀನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music every day
ಅವನು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book every day
ಅವರು ಸಂಜೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit in the evening
ನೀನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book now
ನಾನು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music tomorrow
ನಾನು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie every day
ನೀನು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,You speak Kannada in the evening
ಅವನು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit today
ನೀನು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,You eat fruit today
ಅವನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book in the evening
ಅವಳು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school in the evening
ಅವನು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada now
ಅವನು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada today
ಅವಳು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book now
ಅವನು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home tomorrow
ಅವರು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit today
ನಾವು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,We listen to music now
ನೀನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie in the evening
ನಾನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,I go to school today
ಅವಳು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,She play a game today
ನಾವು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book now
ಅವಳು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,She play a game in the evening
ನಾನು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music today
ಅವಳು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada every day
ನಾವು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school in the evening
ನಾವು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada tomorrow
ನೀನು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,You eat fruit every day
ಅವರು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home every day
ನೀನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book in the evening
ಅವರು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school tomorrow
ಅವನು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,He play a game in the evening
ಅವರು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home tomorrow
ಅವರು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada tomorrow
ಅವಳು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book now
ನೀನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,You eat fruit now
ಅವರು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie tomorrow
ನಾನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,I play a game every day
ನೀನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie tomorrow
ನಾನು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book today
ಅವರು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school now
ಅವರು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada every day
ಅವರು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book tomorrow
ಅವನು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music today
ಅವನು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home today
ಅವನು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music now
ಅವರು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book tomorrow
ನೀನು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school in the evening
ನಾನು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music in the evening
ಅವರು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada tomorrow
ನಾನು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music in the evening
ಅವನು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit every day
ನೀನು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school every day
ನಾನು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music today
ನಾವು ಈಗ ಮನೆಗೆ ಬರುತ್ತೇನೆ,We come home now
ಅವನು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,He watch a movie every day
ನಾವು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school now
ನೀನು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school tomorrow
ನಾವು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,We play a game in the evening
ನಾನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie tomorrow
ಅವರು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school in the evening
ನಾವು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book today
ನಾವು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit every day
ಅವನು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada today
ನಾನು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie now
ನಾನು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie today
ಅವರು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada in the evening
ನಾನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,I play a game today
ಅವನು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,He watch a movie every day
ಅವಳು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school today
ನಾವು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school now
ಅವನು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school now
ನೀನು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie now
ಅವರು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie today
ಅವನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book now
ಅವಳು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,She listen to music now
ಅವರು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school now
ಅವಳು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie in the evening
ಅವರು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit now
ಅವಳು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book today
ಅವಳು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,She eat fruit today
ಅವನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,He play a game every day
ನಾವು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada in the evening
ನಾವು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,We play a game tomorrow
ಅವಳು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,She listen to music every day
ನೀನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie tomorrow
ಅವಳು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book in the evening
ನಾನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie in the evening
ಅವನು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada tomorrow
ಅವಳು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,She play a game now
ನಾವು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book today
ಅವರು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit today
ಅವರು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,They play a game now
ಅವರು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school now
ನೀನು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school tomorrow
ಅವನು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home in the evening
ಅವಳು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school in the evening
ಅವರು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book tomorrow
ನೀನು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school tomorrow
ನಾನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,I play a game today
ಅವನು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school every day
ಅವಳು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home every day
ಅವರು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school every day
ಅವಳು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie every day
ಅವನು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music tomorrow
ಅವನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,He play a game now
